    A 105;Forgings;C-Si;Group1.1;(1)
    A 182 GR.F1;Forgings;C-1-2Mo;Group1.5;(1)
    A 182 GR.F11Cl.2.;Forgings;11-4Cr-1-2Mo-Si;Group1.9;(1).(4)
    A 182 GR.F12Cl.2.;Forgings;1Cr-1-2Mo;Group1.17;(1).(2)
    A 182 GR.F2;Forgings;1-2Cr-1-2Mo;Group1.7;(1)
    A 182 GR.F22Cl.3;Forgings;21-4Cr-1Mo;Group1.10;(1)
    A 182 GR.F304;Forgings;18Cr-8Ni;Group2.1;(1)
    A 182 GR.F304H;Forgings;18Cr-8Ni;Group2.1;
    A 182 GR.F304L;Forgings;18Cr-8Ni;Group2.3;(1)
    A 182 GR.F310.;Forgings;25Cr-20Ni;Group2.7;(1).(2)
    A 182 GR.F316;Forgings;16Cr-12Ni-2Mo;Group2.2;(1)
    A 182 GR.F316H;Forgings;16Cr-12Ni-2Mo;Group2.2;
    A 182 GR.F316L;Forgings;16Cr-12Ni-2Mo;Group2.3;
    A 182 GR.F317;Forgings;18Cr-13Ni-3Mo;Group2.2;(1)
    A 182 GR.F317L;Forgings;18Cr-13Ni-3Mo;Group2.3;
    A 182 GR.F321;Forgings;18Cr-10Ni-Ti;Group2.4;(1)
    A 182 GR.F321H;Forgings;18Cr-10Ni-Ti;Group2.4;(2)
    A 182 GR.F347;Forgings;18Cr-10Ni-Cb;Group2.5;(1)
    A 182 GR.F347H;Forgings;18Cr-10Ni-Cb;Group2.5;(2)
    A 182 GR.F348;Forgings;18Cr-10Ni-Cb;Group2.5;(1)
    A 182 GR.F348H;Forgings;18Cr-10Ni-Cb;Group2.5;(2)
    A 182 GR.F44;Forgings;20Cr-18Ni-6Mo;Group2.8;
    A 182 GR.F5;Forgings;5Cr-1-2Mo;Group1.17;
    A 182 GR.F51;Forgings;22Cr-5Ni-3Mo-N;Group2.8;(1)
    A 182 GR.F53;Forgings;25Cr-7Ni-4Mo-N;Group2.8;(1)
    A 182 GR.F55;Forgings;25Cr-7Ni-3.5Mo-N-Cu-W;Group2.8;(1)
    A 182 GR.F5a;Forgings;5Cr-1-2Mo;Group1.13;
    A 182 GR.F9;Forgings;9Cr-1Mo;Group1.14;
    A 182 GR.F91Type1;Forgings;9Cr-1Mo-V;Group1.15;
    A 182 GR.F92;Forgings;9Cr-2W-V;Group1.18;(1)
    A 182 GR.N08020;Forgings;35Ni-35Fe-20Cr-Cb;Group3.1;(1)
    A 182 GR.N08020;Forgings;33Ni-42Fe-21Cr;Group3.6;(1)
    A 182 GR.N08367;Forgings;46Fe-24Ni-21Cr-6Mo-Cu-N;Group3.12;(1)
    A 182 GR.N08810;Forgings;33Ni-42Fe-21Cr;Group3.15;(1)
    A 182 GR.N08810;Forgings;33Ni-42Fe-21Cr;Group3.6;(1)
    A 182 GR.N08904.;Forgings;44Fe-25Ni-21Cr-Mo;Group3.11;(1).(2)
    A 203 GR.A;Plates;21-2Ni;Group1.3;(2)
    A 203 GR.B;Plates;21-2Ni;Group1.2;(1)
    A 203 GR.D;Plates;31-2Ni;Group1.3;(2)
    A 203 GR.E;Plates;31-2Ni;Group1.2;(1)
    A 204 GR.A;Plates;C-1-2Mo;Group1.5;(1)
    A 204 GR.B;Plates;C-1-2Mo;Group1.5;(1)
    A 204 GR.C;Plates;C-1-2Mo;Group1.11;(1)
    A 216 GR.WCB;Castings;C-Si;Group1.1;(1)
    A 216 GR.WCC;Castings;C-Mn-Si;Group1.2;(1)
    A 217 GR.C12.;Castings;9Cr-1Mo;Group1.14;(1).(2)
    A 217 GR.C12A;Castings;9Cr-1Mo-V;Group1.15;(1)
    A 217 GR.C5.;Castings;5Cr-1-2Mo;Group1.13;(1).(2)
    A 217 GR.WC1-;Castings;C-1-2Mo;Group1.3;(4).(6)
    A 217 GR.WC4-;Castings;Ni-1-2Cr-1-2Mo;Group1.7;(1).(3)
    A 217 GR.WC5.;Castings;3-4Ni-3-4Cr-1Mo;Group1.7;(2).(3)
    A 217 GR.WC6-;Castings;11-4Cr-1-2Mo;Group1.9;(1).(3)
    A 217 GR.WC9-;Castings;21-4Cr-1Mo;Group1.10;(2).(4)
    A 240 GR.304;Plates;18Cr-8Ni;Group2.1;(1)
    A 240 GR.304H;Plates;18Cr-8Ni;Group2.1;
    A 240 GR.304L;Plates;18Cr-8Ni;Group2.3;(1)
    A 240 GR.309H;Plates;23Cr-12Ni;Group2.6;
    A 240 GR.309S-;Plates;23Cr-12Ni;Group2.9;(1).(3)
    A 240 GR.310H;Plates;25Cr-20Ni;Group2.7;
    A 240 GR.310S-;Plates;25Cr-20Ni;Group2.9;(1).(3)
    A 240 GR.316;Plates;16Cr-12Ni-2Mo;Group2.2;(1)
    A 240 GR.316H;Plates;16Cr-12Ni-2Mo;Group2.2;
    A 240 GR.316L;Plates;16Cr-12Ni-2Mo;Group2.3;
    A 240 GR.317;Plates;18Cr-13Ni-3Mo;Group2.2;(1)
    A 240 GR.321;Plates;18Cr-10Ni-Ti;Group2.4;(1)
    A 240 GR.321H;Plates;18Cr-10Ni-Ti;Group2.4;(2)
    A 240 GR.347;Plates;18Cr-10Ni-Cb;Group2.5;(1)
    A 240 GR.347H;Plates;18Cr-10Ni-Cb;Group2.5;(2)
    A 240 GR.348;Plates;18Cr-10Ni-Cb;Group2.5;(1)
    A 240 GR.348H;Plates;18Cr-10Ni-Cb;Group2.5;(2)
    A 240 GR.N08020;Plates;35Ni-35Fe-20Cr-Cb;Group3.1;(1)
    A 240 GR.N08020;Plates;33Ni-42Fe-21Cr;Group3.6;(1)
    A 240 GR.N08367;Plates;46Fe-24Ni-21Cr-6Mo-Cu-N;Group3.12;(1)
    A 240 GR.N08700;Plates;25Ni-47Fe-21Cr-5Mo;Group3.10;(1)
    A 240 GR.N08810;Plates;33Ni-42Fe-21Cr;Group3.15;(1)
    A 240 GR.N08810;Plates;33Ni-42Fe-21Cr;Group3.6;(1)
    A 240 GR.N08904;Plates;44Fe-25Ni-21Cr-Mo;Group3.11;(1)
    A 240 GR.S31254;Plates;20Cr-18Ni-6Mo;Group2.8;
    A 240 GR.S31803;Plates;22Cr-5Ni-3Mo-N;Group2.8;(1)
    A 240 GR.S32750;Plates;25Cr-7Ni-4Mo-N;Group2.8;(1)
    A 240 GR.S32760;Plates;25Cr-7Ni-3.5Mo-N-Cu-W;Group2.8;(1)
    A 350 GR.LF1.Cl.1;Forgings;C-Mn-Si;Group1.4;(1)
    A 350 GR.LF2;Forgings;C-Mn-Si;Group1.1;(1)
    A 350 GR.LF3;Forgings;31-2Ni;Group1.1;(5)
    A 350 GR.LF6Cl.1;Forgings;C-Mn-Si-V;Group1.1;(4)
    A 350 GR.LF6Cl.2;Forgings;C-Mn-Si-V;Group1.2;(3)
    A 351 GR.CF3;Castings;18Cr-8Ni;Group2.1;(2)
    A 351 GR.CF3M;Castings;16Cr-12Ni-2Mo;Group2.2;(2)
    A 351 GR.CF8;Castings;18Cr-8Ni;Group2.1;(1)
    A 351 GR.CF8C;Castings;18Cr-10Ni-Cb;Group2.11;(1)
    A 351 GR.CF8M;Castings;16Cr-12Ni-2Mo;Group2.2;(1)
    A 351 GR.CG8M;Castings;19Cr-10Ni-3Mo;Group2.2;(3)
    A 351 GR.CH20;Castings;25Cr-12Ni;Group2.10;(1)
    A 351 GR.CH8;Castings;25Cr-12Ni;Group2.10;(1)
    A 351 GR.CK20;Castings;25Cr-20Ni;Group2.12;(1)
    A 351 GR.CK3MCuN;Castings;20Cr-18Ni-6Mo;Group2.8;
    A 351 GR.CN3MN;Castings;46Fe-24Ni-21Cr-6Mo-Cu-N;Group3.12;(1)
    A 351 GR.CN3MN;Castings;46Fe-24Ni-21Cr-6Mo-Cu-N;Group3.12;(1)
    A 351 GR.CN7M;Castings;29Ni-20.5Cr-3.5Cu-2.5Mo;Group3.17;(1)
    A 352 GR.LC1;Castings;C-1-2Mo;Group1.3;(1)
    A 352 GR.LC2;Castings;21-2Ni;Group1.2;
    A 352 GR.LC3;Castings;31-2Ni;Group1.2;(2)
    A 352 GR.LCB;Castings;C-Si;Group1.3;(1)
    A 352 GR.LCC;Castings;C-Mn-Si;Group1.2;(2)
    A 387 GR.11Cl.2;Plates;11-4Cr-1-2Mo-Si;Group1.9;(4)
    A 387 GR.22Cl.2;Plates;21-4Cr-1Mo;Group1.10;(1)
    A 387 GR.91Cl.2;Plates;9Cr-1Mo-V;Group1.15;
    A 515 GR.60;Plates;C-Si;Group1.4;(1)
    A 515 GR.65;Plates;C-Si;Group1.3;(2)
    A 515 GR.70;Plates;C-Si;Group1.1;(1)
    A 516 GR.60.;Plates;C-Mn-Si;Group1.4;(1).(2)
    A 516 GR.65.;Plates;C-Mn-Si;Group1.3;(2).(3)
    A 516 GR.70.;Plates;C-Mn-Si;Group1.1;(1).(2)
    A 537Cl.1;Plates;C-Mn-Si;Group1.1;(3)
    A 995 GR.CD3MWCuN;Castings;25Cr-7Ni-3.5Mo-W-Cb;Group2.8;(1)
    A 995 GR.CD4MCuN;Castings;25Cr-5Ni-2Mo-3Cu-N;Group2.8;(1)
    A 995 GR.CE8MN;Castings;24Cr-10Ni-4Mo-V;Group2.8;(1)
    B 127 GR.N04400;Plates;67Ni-30Cu;Group3.4;(1)
    B 162 GR.N02200;Plates;99.0Ni;Group3.2;(1)
    B 162 GR.N02201;Plates;99.0Ni-LowC;Group3.3;(1)
    B 168 GR.N06600;Plates;72Ni-15Cr-8Fe;Group3.5;(1)
    B 333 GR.N10001.;Plates;62Ni-28Mo-5Fe;Group3.8;(1).(6)
    B 333 GR.N10665;Plates;65Ni-28Mo-2Fe;Group3.7;(1)
    B 333 GR.N10675;Plates;64Ni-29.5Mo-2Cr-2Fe-Mn-W;Group3.7;(1)
    B 409 GR.N08800;Plates;33Ni-42Fe-21Cr;Group3.6;(1)
    B 409 GR.N08810;Plates;33Ni-42Fe-21Cr;Group3.15;(1)
    B 424 GR.N08825.;Plates;42Ni-21.5Cr-3Mo-2.3Cu;Group3.8;(3).(7)
    B 434 GR.N10003;Plates;70Ni-16Mo-7Cr-5Fe;Group3.8;(3)
    B 435 GR.N06002;Plates;47Ni-22Cr-9Mo-18Fe;Group3.9;(1)
    B 435 GR.N06230;Plates;57Ni-22Cr-14W-2Mo-La;Group3.19;
    B 435 GR.R30556;Plates;21Ni-30Fe-22Cr-18Co-3Mo-3W;Group3.9;(1)
    B 443 GR.N06625-;Plates;60Ni-22Cr-9Mo-3.5Cb;Group3.8;(3).(5)
    B 462 GR.N06022..;Forgings;55Ni-21Cr-13.5Mo;Group3.8;(1).(2).(8)
    B 462 GR.N06030.;Forgings;40Ni-29Cr-15Fe-5Mo;Group3.14;(1).(2)
    B 462 GR.N06035.;Forgings;58Ni-33Cr-8Mo;Group3.14;(1).(2)
    B 462 GR.N06200.;Forgings;55Ni-23Cr-16Mo-1.6Cu;Group3.8;(1).(6)
    B 462 GR.N08020;Forgings;35Ni-35Fe-20Cr-Cb;Group3.1;(1)
    B 462 GR.N08367;Forgings;46Fe-24Ni-21Cr-6Mo-Cu-N;Group3.12;(1)
    B 462 GR.N10276.;Forgings;54Ni-16Mo-15Cr;Group3.8;(1).(2)
    B 462 GR.N10665;Forgings;65Ni-28Mo-2Fe;Group3.7;(1)
    B 462 GR.N10675;Forgings;64Ni-29.5Mo-2Cr-2Fe-Mn-W;Group3.7;(1)
    B 463 GR.N08020;Plates;35Ni-35Fe-20Cr-Cb;Group3.1;(1)
    B 511 GR.N08330;Forgings;35Ni-19Cr-11-4Si;Group3.16;
    B 536 GR.N08330;Plates;35Ni-19Cr-11-4Si;Group3.16;(1)
    B 564 GR.N02200;Forgings;99.0Ni;Group3.2;(1)
    B 564 GR.N04400;Forgings;67Ni-30Cu;Group3.4;(1)
    B 564 GR.N06230;Forgings;57Ni-22Cr-14W-2Mo-La;Group3.19;
    B 564 GR.N06600;Forgings;72Ni-15Cr-8Fe;Group3.5;(1)
    B 564 GR.N06625-;Forgings;60Ni-22Cr-9Mo-3.5Cb;Group3.8;(3).(5)
    B 564 GR.N08031;Forgings;Ni-Fe-Cr-Mo-Cu-LowC;Group3.13;(2)
    B 564 GR.N08800;Forgings;33Ni-42Fe-21Cr;Group3.6;(1)
    B 564 GR.N08810;Forgings;33Ni-42Fe-21Cr;Group3.15;(1)
    B 564 GR.N08825.;Forgings;42Ni-21.5Cr-3Mo-2.3Cu;Group3.8;(3).(7)
    B 572 GR.N06002.;Forgings;47Ni-22Cr-9Mo-18Fe;Group3.9;(1).(2)
    B 572 GR.R30556.;Forgings;21Ni-30Fe-22Cr-18Co-3Mo-3W;Group3.9;(1).(2)
    B 575 GR.N06022..;Plates;55Ni-21Cr-13.5Mo;Group3.8;(1).(2).(8)
    B 575 GR.N06035.;Plates;58Ni-33Cr-8Mo;Group3.14;(1).(2)
    B 575 GR.N06200.;Plates;55Ni-23Cr-16Mo-1.6Cu;Group3.8;(1).(6)
    B 575 GR.N06455.;Plates;61Ni-16Mo-16Cr;Group3.8;(1).(6)
    B 575 GR.N10276.;Plates;54Ni-16Mo-15Cr;Group3.8;(1).(2)
    B 582 GR.N06007;Plates;47Ni-22Cr-19Fe-6Mo;Group3.14;(1)
    B 582 GR.N06030.;Plates;40Ni-29Cr-15Fe-5Mo;Group3.14;(1).(2)
    B 582 GR.N06975;Plates;49Ni-25Cr-18Fe-6Mo;Group3.13;(1)
    B 582 GR.N06985;Plates;47Ni-22Cr-20Fe-7Mo;Group3.12;(1)
    B 599 GR.N08700;Plates;25Ni-47Fe-21Cr-5Mo;Group3.10;(1)
    B 620 GR.N08320;Plates;26Ni-43Fe-22Cr-5Mo;Group3.12;(1)
    B 625 GR.N08031;Plates;Ni-Fe-Cr-Mo-Cu-LowC;Group3.13;(2)
    B 688 GR.N08367;Plates;46Fe-24Ni-21Cr-6Mo-Cu-N;Group3.12;(1)